Description,NES,p.adjust,cell_type,negLog_padjust
GOBP REGULATION OF LYMPHOCYTE DIFFERENTIATION,2.062290150308822,6.079544281869811e-4,EC,3.216128973899448
GOBP REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY,2.132325564648499,6.18842518398989e-4,EC,3.208419855167083
GOBP REGULATION OF REGULATED SECRETORY PATHWAY,2.1276249548643347,6.354494408914453e-4,EC,3.196918998084561
GOBP CELLULAR DEFENSE RESPONSE,2.1444466538528806,6.643812844112353e-4,EC,3.1775826101029563
GOBP POSITIVE REGULATION OF TRANSPORTER ACTIVITY,2.143108032562396,6.748453068100812e-4,EC,3.170795768055216
GOBP OSTEOCLAST DIFFERENTIATION,2.1722817658544353,6.790003983416657e-4,EC,3.1681299709366755
GOBP POSITIVE REGULATION OF LEUKOCYTE PROLIFERATION,2.105339414373525,6.790003983416657e-4,EC,3.1681299709366755
GOBP REGULATION OF LYMPHOCYTE MEDIATED IMMUNITY,2.1152024012480717,6.952808310839103e-4,EC,3.157839743962925
GOBP POSITIVE REGULATION OF INTERLEUKIN 1 BETA PRODUCTION,2.1242780790470417,7.257332553844386e-4,EC,3.1392229757209287
GOBP DIVALENT INORGANIC CATION HOMEOSTASIS,1.9582247762148344,7.257332553844386e-4,EC,3.1392229757209287
GOBP NEGATIVE REGULATION OF INFLAMMATORY RESPONSE,2.0732695210450265,7.262355470811348e-4,EC,3.138922497473032
GOBP DENDRITIC CELL DIFFERENTIATION,2.120038321415511,7.41707806542841e-4,EC,3.1297671499748083
GOBP FOCAL ADHESION ASSEMBLY,-2.334641784991217,8.745012340074491e-4,EC,3.058239573352546
GOBP REGULATION OF ALPHA BETA T CELL ACTIVATION,2.1085543615612634,9.074189631410464e-4,EC,3.0421921491371586
GOBP POSITIVE REGULATION OF INFLAMMATORY RESPONSE,2.094439259229647,0.0010124172167110016,EC,2.994640478034716
GOBP REGULATION OF OSTEOCLAST DIFFERENTIATION,2.1199142285016777,0.0011020692616504205,EC,2.9577911105592345
GOBP IMPORT INTO CELL,2.066340296487016,0.0011563096634453376,EC,2.936925844880736
GOBP CELLULAR RESPONSE TO INTERLEUKIN 1,1.9973288333606907,0.0011624268875387368,EC,2.9346343531365187
GOBP REGULATION OF CELL KILLING,2.089522662857923,0.001210781030734462,EC,2.916934391739154
GOBP POSITIVE REGULATION OF INTERLEUKIN 1 PRODUCTION,2.108395941989748,0.001219171848985331,EC,2.9139350738682204
GOBP RECEPTOR MEDIATED ENDOCYTOSIS,1.9445933932244883,0.0012373649193301198,EC,2.907502200872441
GOBP REGULATION OF PEPTIDYL TYROSINE PHOSPHORYLATION,1.9443496894120613,0.0012373649193301198,EC,2.907502200872441
GOBP INTERLEUKIN 8 PRODUCTION,2.1095240437698717,0.0012488833082172973,EC,2.903478138859542
GOBP EXTRACELLULAR MATRIX ASSEMBLY,-2.4008105282270615,0.001399621465130478,EC,2.853989405631661
GOBP T CELL PROLIFERATION,2.01127602957598,0.0015490513371982147,EC,2.8099341890242355
GOBP REGULATION OF TRANSPORT,1.5490619056960957,0.0015574765450312165,EC,2.807578484919333
GOBP REGULATION OF T CELL PROLIFERATION,1.988070825390148,0.0016342082113113923,EC,2.786692611657383
GOBP NEGATIVE REGULATION OF RESPONSE TO EXTERNAL STIMULUS,1.8453653130664482,0.0016342082113113923,EC,2.786692611657383
GOBP POSITIVE REGULATION OF SIGNALING,1.552007410663013,0.0016342082113113923,EC,2.786692611657383
GOBP B CELL DIFFERENTIATION,1.9859861060866215,0.0016461393741460232,EC,2.7835333970338128
GOBP FORMATION OF PRIMARY GERM LAYER,-2.2792889571751886,0.001719700666831742,EC,2.764547140334566
GOBP CD4 POSITIVE ALPHA BETA T CELL DIFFERENTIATION,2.066305908795594,0.001719700666831742,EC,2.764547140334566
GOBP POSITIVE REGULATION OF CELL ADHESION,1.7786841342741027,0.0017962691314875464,EC,2.745628593301573
GOBP MAST CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,2.0468085334914154,0.0018566034706174173,EC,2.7312808420392374
GOBP NEGATIVE REGULATION OF LEUKOCYTE CELL CELL ADHESION,1.9737380104120257,0.0018721955813028523,EC,2.727648784100178
GOBP FC RECEPTOR MEDIATED STIMULATORY SIGNALING PATHWAY,2.1308866523609895,0.0018927999517975905,EC,2.722895283775972
GOBP POSITIVE REGULATION OF INTERLEUKIN 8 PRODUCTION,2.052910926072504,0.0019296222529098534,EC,2.714527701113207
GOBP RESPONSE TO OXYGEN CONTAINING COMPOUND,1.5431271549552756,0.002009752682628266,EC,2.6968573829667384
GOBP REGULATION OF CALCIUM MEDIATED SIGNALING,2.0585234550485323,0.002039173621624021,EC,2.6905457954562197
GOBP SECRETION,1.695173459762357,0.002058635968867274,EC,2.6864204434206176
GOBP NEGATIVE REGULATION OF CELL CELL ADHESION,1.9773091584396782,0.002120418658042377,EC,2.673578382973626
GOBP CALCIUM MEDIATED SIGNALING,1.9661606328014232,0.002219134395893269,EC,2.6538163950968023
GOBP ALPHA BETA T CELL DIFFERENTIATION,2.0786109228274325,0.0022216860402227935,EC,2.6533173138166704
GOBP NEGATIVE REGULATION OF IMMUNE RESPONSE,1.9762862115417679,0.0022216860402227935,EC,2.6533173138166704
GOBP POSITIVE REGULATION OF MONONUCLEAR CELL MIGRATION,2.101565214913317,0.0022604117500608398,EC,2.645812443820909
GOBP POSITIVE REGULATION OF CELL SUBSTRATE ADHESION,-2.108637102931211,0.0022606853008152383,EC,2.64575988950413
GOBP NEGATIVE REGULATION OF LEUKOCYTE MEDIATED IMMUNITY,2.04988754549687,0.0023122215987301064,EC,2.6359705463354826
GOBP REGULATION OF RESPONSE TO CYTOKINE STIMULUS,1.9443508015273687,0.0024472349175568937,EC,2.611324339392904
GOBP GASTRULATION,-2.1477748323257244,0.0024905365132418607,EC,2.603707086783148
GOBP REGULATION OF PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY,1.9465852134996213,0.0025426823223950617,EC,2.5947078963123227
GOBP CELL MATRIX ADHESION,-1.978155952834284,0.0025583931992259872,EC,2.5920327080469305
GOBP REGULATION OF RESPONSE TO BIOTIC STIMULUS,1.8764513489445742,0.0025933654531486916,EC,2.5861362787946836
GOBP RESPONSE TO TEMPERATURE STIMULUS,1.9565348174197479,0.0026654888235006394,EC,2.574223134149025
GOBP REGULATION OF ALPHA BETA T CELL DIFFERENTIATION,2.025264178291056,0.0026673274838939524,EC,2.5739236600818445
GOBP INTERFERON GAMMA PRODUCTION,1.9990759023364344,0.0026673274838939524,EC,2.5739236600818445
GOBP REGULATION OF NIK NF KAPPAB SIGNALING,1.9423701998116467,0.0026673274838939524,EC,2.5739236600818445
GOBP ANATOMICAL STRUCTURE FORMATION INVOLVED IN MORPHOGENESIS,-1.4240572521241985,0.0026673274838939524,EC,2.5739236600818445
GOBP CELL SUBSTRATE JUNCTION ORGANIZATION,-2.140568345077922,0.002744975496446338,EC,2.561461528010115
GOBP PRODUCTION OF MOLECULAR MEDIATOR INVOLVED IN INFLAMMATORY RESPONSE,2.028093758719075,0.002744975496446338,EC,2.561461528010115
GOBP POSITIVE REGULATION OF NIK NF KAPPAB SIGNALING,2.013497797746172,0.002848103646970253,EC,2.5454442100884873
