p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.8757228444060889,0.397,0.089,0,Fibroblasts,Cfb
0,0.8738912480087492,0.526,0.105,0,Fibroblasts,Camk2n1
0,0.8682804583251786,0.872,0.653,0,Fibroblasts,Sec61b
0,0.8674805851563535,0.429,0.124,0,Fibroblasts,Ror1
0,0.8661956936282507,0.983,0.945,0,Fibroblasts,Gabarap
0,0.8647672884825224,0.286,0.005,0,Fibroblasts,Dio2
0,0.8608711030795225,0.75,0.53,0,Fibroblasts,Ppp1r14b
0,0.8562175966087067,0.961,0.824,0,Fibroblasts,Atp5j
0,0.8543044462421379,0.92,0.603,0,Fibroblasts,Pebp1
0,0.8522998302834559,0.483,0.087,0,Fibroblasts,Lpar1
0,0.846481662593024,0.896,0.659,0,Fibroblasts,Myl12b
0,0.8445824040377408,0.945,0.796,0,Fibroblasts,Ndufa13
0,0.8443488901393768,0.385,0.029,0,Fibroblasts,Matn2
0,0.8436605332318079,0.499,0.138,0,Fibroblasts,Kcnt2
0,0.8399092898139227,0.275,0.011,0,Fibroblasts,Pcsk6
0,0.8395240907812358,0.94,0.633,0,Fibroblasts,Rnase4
0,0.8377764070354571,0.438,0.118,0,Fibroblasts,Fbln2
0,0.8365963270575174,0.341,0.006,0,Fibroblasts,Ccl19
0,0.8350249008783666,0.447,0.083,0,Fibroblasts,Osr1
0,0.831652047765412,0.779,0.438,0,Fibroblasts,Ddost
0,0.8303636018870312,0.658,0.276,0,Fibroblasts,Ank2
0,0.8298124235153468,0.999,0.996,0,Fibroblasts,Rpsa
0,0.8207804634935673,0.693,0.359,0,Fibroblasts,Fundc2
0,0.8204772939125246,0.403,0.007,0,Fibroblasts,Wnt5a
0,0.8152229072062311,0.582,0.201,0,Fibroblasts,Fkbp9
0,0.8142775049295756,0.894,0.745,0,Fibroblasts,Ost4
0,0.8138464700139268,0.545,0.128,0,Fibroblasts,P3h3
0,0.8093788566132287,0.383,0.011,0,Fibroblasts,Aldh1a1
0,0.8091296237364418,0.941,0.742,0,Fibroblasts,Dad1
0,0.8079262119946834,0.732,0.366,0,Fibroblasts,Selenos
0,0.807697406946651,0.649,0.212,0,Fibroblasts,Lamb2
0,0.807219282297776,0.981,0.865,0,Fibroblasts,Rabac1
0,0.8060031803544254,0.781,0.46,0,Fibroblasts,Cope
0,0.8030317948014816,0.471,0.051,0,Fibroblasts,Bmp1
0,0.7991138573905285,0.745,0.413,0,Fibroblasts,Ift20
0,0.7957843749806514,0.575,0.175,0,Fibroblasts,Col4a5
0,0.7899771786124242,0.819,0.54,0,Fibroblasts,Dynlrb1
0,0.7888616976415461,0.999,0.998,0,Fibroblasts,Rps20
0,0.787693712500693,0.583,0.307,0,Fibroblasts,Uqcc2
0,0.7862961797805401,0.53,0.327,0,Fibroblasts,Fn1
0,0.7702946275647123,0.365,0.123,0,Fibroblasts,Cdkn1c
