Description,NES,p.adjust,cell_type,negLog_padjust
GOBP MACROPHAGE ACTIVATION,-2.2284592511702197,0.0015975134292975741,allECs,2.7965554823117733
GOBP POSITIVE REGULATION OF DEVELOPMENTAL PROCESS,-1.9548084082702795,0.0015975134292975741,allECs,2.7965554823117733
GOBP POSITIVE REGULATION OF CHEMOTAXIS,-2.200999759808929,0.0016133986618644491,allECs,2.792258307592092
GOBP RESPONSE TO INSULIN,-2.102744555617728,0.0016286898779757375,allECs,2.7881616026809253
GOBP LYMPHOCYTE MEDIATED IMMUNITY,-2.167226251284954,0.0016989033555743149,allECs,2.76983132585996
GOBP CD4 POSITIVE ALPHA BETA T CELL DIFFERENTIATION,-2.2017214612066924,0.0017113134047313612,allECs,2.766670447804726
GOBP HOMEOSTATIC PROCESS,-1.8521171970834915,0.0017113134047313612,allECs,2.766670447804726
GOBP LEUKOCYTE DEGRANULATION,-2.1676503761841572,0.0017170457810155378,allECs,2.765218125236659
GOBP ALPHA BETA T CELL DIFFERENTIATION,-2.1666322611731603,0.0017276227008457385,allECs,2.762551097986853
GOBP POSITIVE REGULATION OF GTPASE ACTIVITY,-2.211535388513782,0.001729123292457683,allECs,2.7621740389267675
GOBP NEGATIVE REGULATION OF PROTEIN METABOLIC PROCESS,-1.93447074048245,0.001729123292457683,allECs,2.7621740389267675
GOBP B CELL MEDIATED IMMUNITY,-2.221809820032026,0.0017333678657700318,allECs,2.7611092589133355
GOBP POSITIVE REGULATION OF LEUKOCYTE MEDIATED IMMUNITY,-2.1894032035854196,0.0017816713893799192,allECs,2.7491723939799617
GOBP NEGATIVE REGULATION OF CELL CELL ADHESION,-2.187609375289983,0.0018301037281114017,allECs,2.7375242942751843
GOBP POSITIVE REGULATION OF INTERLEUKIN 6 PRODUCTION,-2.1771242650846334,0.0020096880084933743,allECs,2.6968713588514777
GOBP NEGATIVE REGULATION OF PHOSPHORUS METABOLIC PROCESS,-2.040551812360425,0.0020096880084933743,allECs,2.6968713588514777
GOBP POSITIVE REGULATION OF MYELOID CELL DIFFERENTIATION,-2.1609885881525983,0.002309777516099787,allECs,2.636429850490342
GOBP POSITIVE REGULATION OF MAPK CASCADE,-2.045985223623597,0.0023105542640362944,allECs,2.6362838274937754
GOBP I KAPPAB KINASE NF KAPPAB SIGNALING,-2.0445383311783982,0.002569897708735157,allECs,2.5900841628227855
GOBP NEGATIVE REGULATION OF HEMOPOIESIS,-2.1884245958019597,0.0026779083328402867,allECs,2.5722042933520166
GOBP CELLULAR HOMEOSTASIS,-1.9457340873602913,0.00283673636298317,allECs,2.547181024240072
GOBP NEGATIVE REGULATION OF CELL ADHESION,-2.12423225373375,0.0030056245889578934,allECs,2.522065264975199
GOBP REGULATION OF PROTEIN KINASE ACTIVITY,-1.9811774119584777,0.0030683204665103627,allECs,2.5130992830643977
GOBP SMOOTH MUSCLE CELL PROLIFERATION,-2.089180438675311,0.003185795510058094,allECs,2.4967821041480533
GOBP NEGATIVE REGULATION OF DEFENSE RESPONSE,-2.078197054944193,0.0032091702505005807,allECs,2.4936072424272027
GOBP NEGATIVE REGULATION OF CELL DEATH,-1.8781021557326611,0.0032091702505005807,allECs,2.4936072424272027
GOBP CD4 POSITIVE ALPHA BETA T CELL ACTIVATION,-2.1078513666350465,0.003258497711431094,allECs,2.4869825796900775
GOBP PHAGOCYTOSIS,-2.071883740744513,0.0033318108250971266,allECs,2.4773196651130225
